Country,Capital,Latitude,Longitude
Cyprus,Nicosia,"35,17","33,37"
Malta,Valletta,"35,9","14,51"
Gibraltar,Gibraltar,"36,14","-5,35"
Greece,Athens,"37,98","23,72"
Portugal,Lisbon,"38,72","-9,13"
Spain,Madrid,"40,42","-3,7"
Albania,Tirana,"41,33","19,82"
Italy,Rome,"41,89","12,48"
Vatican,Vatican,"41,9","12,45"
Macedonia,Skopje,42,"21,43"
Montenegro,Podgorica,"42,44","19,26"
Andorra,Andorra la Vella,"42,51","1,52"
Kosovo,Pristina,"42,67","21,17"
Bulgaria,Sofia,"42,7","23,32"
Monaco,Monaco,"43,73","7,42"
Bosnia and Herzegovina,Sarajevo,"43,85","18,36"
San Marino,San Marino,"43,94","12,45"
Romania,Bucharest,"44,43","26,11"
Serbia,Belgrade,"44,8","20,47"
Croatia,Zagreb,"45,81","15,98"
Slovenia,Ljubljana,"46,05","14,51"
Switzerland,Berne,"46,95","7,45"
Moldova,Chişinău,"47,01","28,86"
Liechtenstein,Vaduz,"47,14","9,52"
Hungary,Budapest,"47,5","19,04"
Slovakia,Bratislava,"48,15","17,11"
Austria,Vienna,"48,21","16,37"
France,Paris,"48,85","2,35"
Jersey,Saint Helier,"49,19","-2,1"
Guernsey,St Peter Port,"49,46","-2,54"
Luxembourg,Luxembourg,"49,61","6,13"
Czech Republic,Prague,"50,09","14,42"
Ukraine,Kiev,"50,45","30,52"
Belgium,Brussels,"50,85","4,35"
United Kingdom,London,"51,51","-0,13"
Poland,Warsaw,"52,23","21,01"
Netherlands,Amsterdam,"52,37","4,89"
Germany,Berlin,"52,52","13,41"
Ireland,Dublin,"53,33","-6,25"
Belarus,Minsk,"53,9","27,57"
Isle of Man,Douglas,"54,15","-4,48"
Lithuania,Vilnius,"54,69","25,28"
Denmark,Copenhagen,"55,68","12,57"
Russia,Moscow,"55,75","37,62"
Latvia,Riga,"56,95","24,11"
Sweden,Stockholm,"59,33","18,06"
Estonia,Tallinn,"59,44","24,75"
Norway,Oslo,"59,91","10,75"
Finland,Helsinki,"60,17","24,94"
Faroe Islands,Tórshavn,"62,01","-6,77"
Iceland,Reykjavík,"64,14","-21,9"
Svalbard and Jan Mayen,Longyearbyen,"78,22","15,64"
